Date,Count,Min Block,Max Block
2022-05-01T00:00:00.000Z,543,7454105,7454647
2022-05-01T01:00:00.000Z,549,7454648,7455196
2022-05-01T02:00:00.000Z,546,7455197,7455742
2022-05-01T03:00:00.000Z,548,7455743,7456290
2022-05-01T04:00:00.000Z,547,7456291,7456837
2022-05-01T05:00:00.000Z,545,7456838,7457382
2022-05-01T06:00:00.000Z,547,7457383,7457929
2022-05-01T07:00:00.000Z,547,7457930,7458476
2022-05-01T08:00:00.000Z,525,7458477,7459001
2022-05-01T09:00:00.000Z,536,7459002,7459537
2022-05-01T10:00:00.000Z,542,7459538,7460079
2022-05-01T11:00:00.000Z,551,7460080,7460630
2022-05-01T12:00:00.000Z,520,7460631,7461150
2022-05-01T13:00:00.000Z,544,7461151,7461694
2022-05-01T14:00:00.000Z,550,7461695,7462244
2022-05-01T15:00:00.000Z,553,7462245,7462797
2022-05-01T16:00:00.000Z,551,7462798,7463348
2022-05-01T17:00:00.000Z,550,7463349,7463898
2022-05-01T18:00:00.000Z,552,7463899,7464450
2022-05-01T19:00:00.000Z,550,7464451,7465000
2022-05-01T20:00:00.000Z,554,7465001,7465554
2022-05-01T21:00:00.000Z,551,7465555,7466105
2022-05-01T22:00:00.000Z,550,7466106,7466655
2022-05-01T23:00:00.000Z,552,7466656,7467207
2022-05-02T00:00:00.000Z,550,7467208,7467757
2022-05-02T01:00:00.000Z,549,7467758,7468306
2022-05-02T02:00:00.000Z,551,7468307,7468857
2022-05-02T03:00:00.000Z,551,7468858,7469408
2022-05-02T04:00:00.000Z,551,7469409,7469959
2022-05-02T05:00:00.000Z,550,7469960,7470509
2022-05-02T06:00:00.000Z,548,7470510,7471057
2022-05-02T07:00:00.000Z,552,7471058,7471609
2022-05-02T08:00:00.000Z,553,7471610,7472162
2022-05-02T09:00:00.000Z,553,7472163,7472715
2022-05-02T10:00:00.000Z,551,7472716,7473266
2022-05-02T11:00:00.000Z,553,7473267,7473819
2022-05-02T12:00:00.000Z,521,7473820,7474340
2022-05-02T13:00:00.000Z,552,7474341,7474892
2022-05-02T14:00:00.000Z,552,7474893,7475444
2022-05-02T15:00:00.000Z,552,7475445,7475996
2022-05-02T16:00:00.000Z,552,7475997,7476548
2022-05-02T17:00:00.000Z,534,7476549,7477082
2022-05-02T18:00:00.000Z,548,7477083,7477630
2022-05-02T19:00:00.000Z,549,7477631,7478179
2022-05-02T20:00:00.000Z,549,7478180,7478728
2022-05-02T21:00:00.000Z,547,7478729,7479275
2022-05-02T22:00:00.000Z,543,7479276,7479818
2022-05-02T23:00:00.000Z,521,7479819,7480339
2022-05-03T00:00:00.000Z,506,7480340,7480845
2022-05-03T01:00:00.000Z,526,7480846,7481371
2022-05-03T02:00:00.000Z,527,7481372,7481898
2022-05-03T03:00:00.000Z,538,7481899,7482436
2022-05-03T04:00:00.000Z,540,7482437,7482976
2022-05-03T05:00:00.000Z,542,7482977,7483518
2022-05-03T06:00:00.000Z,535,7483519,7484053
2022-05-03T07:00:00.000Z,537,7484054,7484590
2022-05-03T08:00:00.000Z,552,7484591,7485142
2022-05-03T09:00:00.000Z,548,7485143,7485690
2022-05-03T10:00:00.000Z,550,7485691,7486240
2022-05-03T11:00:00.000Z,549,7486241,7486789
2022-05-03T12:00:00.000Z,515,7486790,7487304
2022-05-03T13:00:00.000Z,548,7487305,7487852
2022-05-03T14:00:00.000Z,547,7487853,7488399
2022-05-03T15:00:00.000Z,546,7488400,7488945
2022-05-03T16:00:00.000Z,536,7488946,7489481
2022-05-03T17:00:00.000Z,538,7489482,7490019
2022-05-03T18:00:00.000Z,536,7490020,7490555
2022-05-03T19:00:00.000Z,529,7490556,7491084
2022-05-03T20:00:00.000Z,534,7491085,7491618
2022-05-03T21:00:00.000Z,531,7491619,7492149
2022-05-03T22:00:00.000Z,520,7492150,7492669
2022-05-03T23:00:00.000Z,528,7492670,7493197
2022-05-04T00:00:00.000Z,533,7493198,7493730
2022-05-04T01:00:00.000Z,526,7493731,7494256
2022-05-04T02:00:00.000Z,530,7494257,7494786
2022-05-04T03:00:00.000Z,534,7494787,7495320
2022-05-04T04:00:00.000Z,536,7495321,7495856
2022-05-04T05:00:00.000Z,524,7495857,7496380
2022-05-04T06:00:00.000Z,539,7496381,7496919
2022-05-04T07:00:00.000Z,539,7496920,7497458
2022-05-04T08:00:00.000Z,543,7497459,7498001
2022-05-04T09:00:00.000Z,501,7498002,7498502
2022-05-04T10:00:00.000Z,518,7498503,7499020
2022-05-04T11:00:00.000Z,530,7499021,7499550
2022-05-04T12:00:00.000Z,508,7499551,7500058
2022-05-04T13:00:00.000Z,541,7500059,7500599
2022-05-04T14:00:00.000Z,541,7500600,7501140
2022-05-04T15:00:00.000Z,539,7501141,7501679
